OBS,Treatment,Plot,Reserve,Replicate,Plant_species,Ant_resident,Classification_Ant,Height
259,CF,Dimona-CF,Dimona,2,Hm,As,Obligate,<1
260,CF,Dimona-CF,Dimona,2,Hm,As,Obligate,<1
261,CF,Dimona-CF,Dimona,2,Hm,As,Obligate,<1
262,CF,Dimona-CF,Dimona,2,Hm,As,Obligate,<1
263,CF,Dimona-CF,Dimona,2,Hm,As,Obligate,1.2
264,CF,Dimona-CF,Dimona,2,Hp,As,Obligate,1.7
265,CF,Dimona-CF,Dimona,2,Cn,Az1,Obligate,<1
266,CF,Dimona-CF,Dimona,2,Cn,Az1,Obligate,1.2
267,CF,Dimona-CF,Dimona,2,Cn,Az1,Obligate,1
268,CF,Dimona-CF,Dimona,2,Cn,Az1,Obligate,1.6
269,CF,Dimona-CF,Dimona,2,Cn,Az1,Obligate,<1
270,CF,Dimona-CF,Dimona,2,Cn,Az1,Obligate,1.7
271,CF,Dimona-CF,Dimona,2,Cn,Az1,Obligate,1
272,CF,Dimona-CF,Dimona,2,Cn,Az1,Obligate,<1
273,CF,Dimona-CF,Dimona,2,Cn,Az1,Obligate,1.2
274,CF,Dimona-CF,Dimona,2,Cn,Az1,Obligate,<1
275,CF,Dimona-CF,Dimona,2,Cn,Az1,Obligate,1
276,CF,Dimona-CF,Dimona,2,Cn,Az1,Obligate,1
277,CF,Dimona-CF,Dimona,2,Cn,Az2,Obligate,2
278,CF,Dimona-CF,Dimona,2,Cn,Az2,Obligate,
279,CF,Dimona-CF,Dimona,2,Cn,Az2,Obligate,1.1
280,CF,Dimona-CF,Dimona,2,Cn,Az2,Obligate,2
281,CF,Dimona-CF,Dimona,2,Cn,Az3,Obligate,1.2
282,CF,Dimona-CF,Dimona,2,Cn,Az3,Obligate,4.5
283,CF,Dimona-CF,Dimona,2,Cn,Az3,Obligate,3
284,CF,Dimona-CF,Dimona,2,Tm,Az3,Obligate,5
285,CF,Dimona-CF,Dimona,2,Tm,Az3,Obligate,6
286,CF,Dimona-CF,Dimona,2,Tm,Az3,Obligate,6
287,CF,Dimona-CF,Dimona,2,Tm,Az3,Obligate,12
288,CF,Dimona-CF,Dimona,2,Tb,Az3,Obligate,1.2
289,CF,Dimona-CF,Dimona,2,Tb,Az3,Obligate,<1
290,CF,Dimona-CF,Dimona,2,Tb,Az3,Obligate,1
291,CF,Dimona-CF,Dimona,2,Tb,Az3,Obligate,<1
292,CF,Dimona-CF,Dimona,2,Tb,Az3,Obligate,<1
293,CF,Dimona-CF,Dimona,2,Tm,Az4,Obligate,4
294,CF,Dimona-CF,Dimona,2,Cn,Azu,Obligate,1.3
295,CF,Dimona-CF,Dimona,2,Tb,Azu,Obligate,2
296,CF,Dimona-CF,Dimona,2,Tb,Azu,Obligate,<1
297,CF,Dimona-CF,Dimona,2,Tb,Azu,Obligate,<1
298,CF,Dimona-CF,Dimona,2,Cn,Cb,Opportunist,3.5
299,CF,Dimona-CF,Dimona,2,Cn,Cb,Opportunist,2.5
300,CF,Dimona-CF,Dimona,2,Pr,Cb,Opportunist,3
301,CF,Dimona-CF,Dimona,2,Cn,Clp,Opportunist,<1
302,CF,Dimona-CF,Dimona,2,Tb,Cl,Obligate,<1
303,CF,Dimona-CF,Dimona,2,Tb,Cl,Obligate,<1
304,CF,Dimona-CF,Dimona,2,Tb,Cl,Obligate,<1
305,CF,Dimona-CF,Dimona,2,Mm,Me,Obligate,2.5
306,CF,Dimona-CF,Dimona,2,Mm,Me,Obligate,1.4
307,CF,Dimona-CF,Dimona,2,Mm,Me,Obligate,<1
308,CF,Dimona-CF,Dimona,2,Mm,Me,Obligate,4
309,CF,Dimona-CF,Dimona,2,Mm,Me,Obligate,5.5
310,CF,Dimona-CF,Dimona,2,Mm,Me,Obligate,<1
311,CF,Dimona-CF,Dimona,2,Mm,Me,Obligate,4
312,CF,Dimona-CF,Dimona,2,Mm,Me,Obligate,3
313,CF,Dimona-CF,Dimona,2,Mm,Me,Obligate,4.5
314,CF,Dimona-CF,Dimona,2,Mm,Me,Obligate,5.5
315,CF,Dimona-CF,Dimona,2,Cn,none,,<1
316,CF,Dimona-CF,Dimona,2,Cn,none,,<1
317,CF,Dimona-CF,Dimona,2,Cn,none,,<1
318,CF,Dimona-CF,Dimona,2,Cn,none,,<1
319,CF,Dimona-CF,Dimona,2,Cn,none,,<1
320,CF,Dimona-CF,Dimona,2,Cn,none,,<1
321,CF,Dimona-CF,Dimona,2,Cn,none,,<1
322,CF,Dimona-CF,Dimona,2,Cn,none,,<1
323,CF,Dimona-CF,Dimona,2,Cn,none,,<1
324,CF,Dimona-CF,Dimona,2,Cn,none,,<1
325,CF,Dimona-CF,Dimona,2,Cn,none,,<1
326,CF,Dimona-CF,Dimona,2,Cn,none,,<1
327,CF,Dimona-CF,Dimona,2,Cn,none,,<1
328,CF,Dimona-CF,Dimona,2,Cn,none,,<1
329,CF,Dimona-CF,Dimona,2,Cn,none,,1
330,CF,Dimona-CF,Dimona,2,Cn,none,,<1
331,CF,Dimona-CF,Dimona,2,Cn,none,,<1
332,CF,Dimona-CF,Dimona,2,Cn,none,,<1
333,CF,Dimona-CF,Dimona,2,Cn,none,,<1
334,CF,Dimona-CF,Dimona,2,Cn,none,,1.2
335,CF,Dimona-CF,Dimona,2,Cn,none,,<1
336,CF,Dimona-CF,Dimona,2,Cn,none,,<1
337,CF,Dimona-CF,Dimona,2,Cn,none,,<1
338,CF,Dimona-CF,Dimona,2,Cn,none,,<1
339,CF,Dimona-CF,Dimona,2,Cn,none,,<1
340,CF,Dimona-CF,Dimona,2,Cn,none,,<1
341,CF,Dimona-CF,Dimona,2,Cn,none,,<1
342,CF,Dimona-CF,Dimona,2,Cn,none,,1.4
343,CF,Dimona-CF,Dimona,2,Cn,none,,<1
344,CF,Dimona-CF,Dimona,2,Cn,none,,<1
345,CF,Dimona-CF,Dimona,2,Cn,none,,<1
346,CF,Dimona-CF,Dimona,2,Cn,none,,<1
347,CF,Dimona-CF,Dimona,2,Cn,none,,<1
348,CF,Dimona-CF,Dimona,2,Cn,none,,<1
349,CF,Dimona-CF,Dimona,2,Cn,none,,<1
350,CF,Dimona-CF,Dimona,2,Cn,none,,<1
351,CF,Dimona-CF,Dimona,2,Cn,none,,<1
352,CF,Dimona-CF,Dimona,2,Cn,none,,<1
353,CF,Dimona-CF,Dimona,2,Cn,none,,<1
354,CF,Dimona-CF,Dimona,2,Cn,none,,<1
355,CF,Dimona-CF,Dimona,2,Hm,none,,<1
356,CF,Dimona-CF,Dimona,2,Hm,none,,<1
357,CF,Dimona-CF,Dimona,2,Hm,none,,<1
358,CF,Dimona-CF,Dimona,2,Hm,none,,1
359,CF,Dimona-CF,Dimona,2,Hm,none,,<1
360,CF,Dimona-CF,Dimona,2,Hm,none,,2.5
